
Perfect Digital Audio Extraction



Each CD drive reads audio discs slightly out (a number of samples), if your CD drive supports 'Accurate Stream' it will be a constant value, this value tends to be the same for each particular make and model of CD Drive. A small number of drives have [Purged] as the offset, these drives were found not to have a constant drive offset (perhaps different manufacturing batches, or firmwares), as such they have been removed from AccurateRip's drive database (should you have one of these drives, 3 matching key disks will be required to configure AccurateRip). 
This list contains submitted drive read offsets in a format compatible with dBpowerAMP Music Converter (dMC) and Exact Audio Copy (EAC).

Information: JLMS drives are listed as Lite-ON,   HL-DT-ST as LG Electronics  &  Matshita as Panasonic

CD Drive	Correction Offset	Submitted By	Percentage Agree
NEC - DVD+-RW ND-3450A	+48	132	100%
NEC - DVD+-RW ND-3530A	+48	244	100%
NEC - DVD+-RW ND-3650A	+48	82	100%
NEC - DVD+-RW ND-6450A	+48	8	100%
NEC - DVD+-RW ND-6500A	+48	419	100%
NEC - DVD+-RW ND-6650A	+48	659	100%
NEC - DVD+RW ND-1000A	+48	17	100%
NEC - DVD+RW ND-1100A	+48	336	100%
NEC - DVD+RW ND-2100AD	+48	134	100%
NEC - DVD+RW ND-3100AD	+48	22	100%
NEC - DVD+RW ND-5100A	+48	49	100%
NEC - DVD+RW ND-6100A	+48	58	100%
NEC - DVD-ROM DV-5700A	+116	2	100%
NEC - DVD_RW ND-1300A	+48	571	100%
NEC - DVD_RW ND-2500A	+48	696	100%
NEC - DVD_RW ND-2510A	+48	688	100%
NEC - DVD_RW ND-3500AG	+48	1524	100%
NEC - DVD_RW ND-3520A	+48	830	100%
NEC - DVD_RW ND-3520AW	+48	872	100%
NEC - DVD_RW ND-3530A	+48	79	100%
NEC - DVD_RW ND-3540A	+48	1456	100%
NEC - DVD_RW ND-3550A	+48	1374	100%
NEC - DVD_RW ND-3551A	+48	67	100%
NEC - DVD_RW ND-3570A	+48	62	100%
NEC - DVD_RW ND-4550A	+48	627	100%
NEC - DVD_RW ND-4551A	+48	382	100%
NEC - DVD_RW ND-4570A	+48	289	100%
NEC - DVD_RW ND-4571A	+48	392	100%
NEC - DVD_RW ND-5500A	+48	3	100%
NEC - DVD_RW ND-6750A	+48	70	100%
NEC - DVD_RW ND-7550A	+48	40	100%
NEC - DVD_RW ND-7551A	+48	17	100%
NEC - DVD_RW ND-7551B	+48	1	100%
NEC - DVD_RW ND-XXX	0	1	100%
NEC - NR-7500A	+685	11	100%
NEC - NR-7700A	+685	37	100%
NEC - NR-7800A	+685	52	100%
NEC - NR-7800B	+685	14	100%
NEC - NR-7900A	+685	103	100%
NU - CDRW-DVD DBW-521	+6	4	100%
NU - DVDRW DDW-081	+1292	10	100%
NU - DVDRW DDW-082	+1292	34	100%
NU - DVDRW SDW-042	+1292	1	100%
OEM - CD-ROM 48SSB	+12	2	100%
OEM - CD-ROM CMD5211	+691	1	100%
OEM - CD-ROM F522B	+12	1	100%
OEM - CD-ROM F522E	+12	8	100%
OEM - CD-ROM F563E	+12	9	100%
OEM - CD-ROM F564E	+12	15	100%
OEM - CD-ROM F566E	+691	2	100%
OIPD42T - OPC-K101-ST1	+30	1	100%
OLYMPUS - S-DVD-100	+48	3	100%
Opriarc - DVD RW AD-7173A	+48	1	100%
Optiarc - BD DRV BC-5600S	+48	25	100%
Optiarc - BD ROM BC-5100S	+667	22	100%
Optiarc - BD ROM BC-5500A	+48	226	100%
Optiarc - BD ROM BC-5500H	+48	97	100%
Optiarc - BD ROM BC-5500S4	+48	86	100%
Optiarc - BD ROM BC-5500S	+48	523	100%
Optiarc - BD ROM BC-5530H	+48	6	100%
Optiarc - BD ROM BC-5540H	+48	13	100%
Optiarc - BD ROM BC-5550H	+48	34	100%
Optiarc - BD ROM BC-5600S	+48	44	100%
Optiarc - BD ROM BC-5640H	+48	27	100%
Optiarc - BD ROM BC-5650H	+48	7	100%
Optiarc - BD RW BD-5300S	+6	195	100%
Optiarc - BD RW BD-5730S6	+48	28	100%
Optiarc - BD RW BD-5730S	+48	58	100%
Optiarc - BD RW BD-5740H	+48	19	100%
Optiarc - BD RW BD-5740L	+48	17	100%
Optiarc - BD RW BD-5750H	+48	85	100%
Optiarc - BD RW BD-5750L	+48	12	100%
Optiarc - BD RW BD-5840H	+48	18	100%
Optiarc - BD RW BD-5850H	+48	42	100%
Optiarc - BD-ROM BR-5100S	+79	58	100%
Optiarc - BDRW BD-M100A	+102	1	100%
Optiarc - CD-RW CRX870A	+6	1	100%
Optiarc - CD-RW CRX880A	+6	43	100%
Optiarc - CDRWDVD CRX890A	+6	14	100%
Optiarc - CDRWDVD CRX890S	+6	6	100%
Optiarc - DVD ROM DDU7700H	+48	4	100%
Optiarc - DVD ROM DDU7710H	+48	1	100%
Optiarc - DVD ROM DDU7740H	+48	3	100%
Optiarc - DVD ROM DDU7930H	+48	1	100%
Optiarc - DVD RW AD-5170A	+48	589	100%
Optiarc - DVD RW AD-5170S	+48	4	100%
Optiarc - DVD RW AD-5200A	+48	315	100%
Optiarc - DVD RW AD-5200S	+48	114	100%
Optiarc - DVD RW AD-5240S	+48	366	100%
Optiarc - DVD RW AD-5260S	+48	356	100%
Optiarc - DVD RW AD-5280S	+48	229	100%
Optiarc - DVD RW AD-5530A	+6	17	100%
Optiarc - DVD RW AD-5540A	+48	91	100%
Optiarc - DVD RW AD-5540B	+48	3	100%
Optiarc - DVD RW AD-5590A	+48	12	100%
OPTIARC - DVD RW AD-5630A	+48	97	100%
OPTIARC - DVD RW AD-5670S	+48	59	100%
OPTIARC - DVD RW AD-5670SC	+48	4	100%
OPTIARC - DVD RW AD-5680H	+48	149	100%
OPTIARC - DVD RW AD-5690H	+48	42	100%
OPTIARC - DVD RW AD-5960S	+48	9	100%
OPTIARC - DVD RW AD-5970H	+48	24	100%
Optiarc - DVD RW AD-7170A	+48	710	100%
Optiarc - DVD RW AD-7170S	+48	596	100%
Optiarc - DVD RW AD-7173A	+48	970	100%
Optiarc - DVD RW AD-7173S	+48	425	100%
Optiarc - DVD RW AD-7190A	+6	115	100%
Optiarc - DVD RW AD-7190S	+6	45	100%
Optiarc - DVD RW AD-7191A	+6	94	100%
Optiarc - DVD RW AD-7191S	+6	253	100%
Optiarc - DVD RW AD-7200A	+48	528	100%
Optiarc - DVD RW AD-7200S	+48	941	100%
Optiarc - DVD RW AD-7201A	+48	77	100%
Optiarc - DVD RW AD-7201S5	+48	55	100%
Optiarc - DVD RW AD-7201S6	+48	24	100%
Optiarc - DVD RW AD-7201S	+48	246	100%
Optiarc - DVD RW AD-7203A	+48	295	100%
Optiarc - DVD RW AD-7203S	+48	653	100%
Optiarc - DVD RW AD-7220A	+6	23	100%
Optiarc - DVD RW AD-7220S	+6	53	100%
Optiarc - DVD RW AD-7221A	+6	5	100%
Optiarc - DVD RW AD-7221S	+6	5	100%
Optiarc - DVD RW AD-7230S	+48	54	100%
Optiarc - DVD RW AD-7231S5	+48	18	100%
Optiarc - DVD RW AD-7233S	+48	20	100%
Optiarc - DVD RW AD-7240S	+48	1450	100%
Optiarc - DVD RW AD-7241S	+48	530	100%
Optiarc - DVD RW AD-7243S	+48	189	100%
Optiarc - DVD RW AD-7250H	+48	60	100%
Optiarc - DVD RW AD-7260S	+48	829	100%
Optiarc - DVD RW AD-7261S	+48	266	100%
Optiarc - DVD RW AD-7263S	+48	121	100%
Optiarc - DVD RW AD-7270H	+48	10	100%
Optiarc - DVD RW AD-7280S	+48	562	100%
Optiarc - DVD RW AD-7283S	+48	50	100%
Optiarc - DVD RW AD-7290H	+48	35	100%
Optiarc - DVD RW AD-7530A	+6	171	100%
Optiarc - DVD RW AD-7530B	+6	202	100%
Optiarc - DVD RW AD-7540A	+48	304	100%
Optiarc - DVD RW AD-7543A	+48	88	100%
Optiarc - DVD RW AD-7543B	+48	10	100%
Optiarc - DVD RW AD-7543C	+48	10	100%
Optiarc - DVD RW AD-7560A	+6	337	100%
Optiarc - DVD RW AD-7560S	+6	277	100%
Optiarc - DVD RW AD-7561A	+6	141	100%
Optiarc - DVD RW AD-7561S	+6	344	100%
Optiarc - DVD RW AD-7563A	+6	58	100%
Optiarc - DVD RW AD-7580A	+6	34	100%
Optiarc - DVD RW AD-7580S	+6	363	100%
Optiarc - DVD RW AD-7581A	+6	25	100%
Optiarc - DVD RW AD-7581S	+6	58	100%
Optiarc - DVD RW AD-7583S	+6	24	100%
Optiarc - DVD RW AD-7585H	+6	249	100%
Optiarc - DVD RW AD-7590A	+48	96	100%
Optiarc - DVD RW AD-7590B	+48	13	100%
Optiarc - DVD RW AD-7590S	+48	112	100%
Optiarc - DVD RW AD-7590T	+48	6	100%
Optiarc - DVD RW AD-7591S	+48	17	100%
Optiarc - DVD RW AD-7593A	+48	38	100%
Optiarc - DVD RW AD-7593B	+48	3	100%
Optiarc - DVD RW AD-7630A	+48	33	100%
Optiarc - DVD RW AD-7633A	+48	24	100%
Optiarc - DVD RW AD-7640A	+6	24	100%
Optiarc - DVD RW AD-7640S	+6	37	100%
Optiarc - DVD RW AD-7643S	+6	8	100%
Optiarc - DVD RW AD-7670S	+48	16	100%
Optiarc - DVD RW AD-7690H	+48	33	100%
Optiarc - DVD RW AD-7700H	+48	173	100%
Optiarc - DVD RW AD-7700S	+48	184	100%
Optiarc - DVD RW AD-7700T	+48	30	100%
Optiarc - DVD RW AD-7703S	+48	12	100%
Optiarc - DVD RW AD-7710H	+48	247	100%
Optiarc - DVD RW AD-7710I	+48	10	100%
Optiarc - DVD RW AD-7713H	+48	4	100%
Optiarc - DVD RW AD-7717H	+48	20	100%
Optiarc - DVD RW AD-7730U	+6	1	100%
Optiarc - DVD RW AD-7740H	+48	138	100%
Optiarc - DVD RW AD-7740I	+48	8	100%
Optiarc - DVD RW AD-7760H	+48	33	100%
Optiarc - DVD RW AD-7760I	+48	1	100%
Optiarc - DVD RW AD-7800H	+48	13	100%
Optiarc - DVD RW AD-7803H	+48	5	100%
Optiarc - DVD RW AD-7910A	+48	155	100%
Optiarc - DVD RW AD-7910S	+48	173	100%
Optiarc - DVD RW AD-7913A	+48	3	100%
Optiarc - DVD RW AD-7930H	+48	162	100%
Optiarc - DVD RW AD-7930V	+48	6	66%
Optiarc - DVD RW AD-7940H	+48	20	100%
Optiarc - DVD RW AD-7980H	+48	2	100%
Optiarc - DVD+-RW AD-5170S	+48	143	100%
Optiarc - DVD+-RW AD-5540A	+48	267	100%
Optiarc - DVD+-RW AD-5560A	+6	198	100%
Optiarc - DVD+-RW AD-7200S	+48	312	100%
Optiarc - DVD+-RW AD-7230S	+48	85	100%
Optiarc - DVD+-RW AD-7250H	+48	38	100%
Optiarc - DVD+-RW AD-7270H	+48	9	100%
Optiarc - DVD+-RW AD-7560S	+6	34	100%
Optiarc - DVD+-RW AD-7580A	+6	26	100%
Optiarc - DVD+-RW AD-7580S	+6	57	100%
Optiarc - DVD+-RW AD-7585H	+6	34	100%
Optiarc - DVD+-RW AD-7640A	+6	175	100%
Optiarc - DVD+-RW AD-7640S	+6	172	100%
Optiarc - DVD+-RW AD-7700H	+48	39	100%
Optiarc - DVD+-RW AD-7717H	+48	63	100%
Optiarc - DVD+-RW AD-7747H	+48	9	100%
Optiarc - DVD+-RW AD-7760H	+48	2	100%
Optiarc - DVD+-RW AD-7930H	+48	31	100%
Optiarc - DVD+-RW ND-3570A	+48	78	100%
Optiarc - DVD-ROM DDU1671S	+6	86	100%
Optiarc - DVD-ROM DDU1675A	+6	8	100%
Optiarc - DVD-ROM DDU1675S	+6	23	100%
OPTIARC - DVD-ROM DDU1678A	+6	22	100%
OPTIARC - DVD-ROM DDU1681S	+6	106	100%
Optiarc - DVD-ROM DDU820A	+6	1	100%
Optiarc - DVD-ROM DDU820S	+6	1	100%
Optiarc - DVD-RW AD-7173A	+48	1	100%
Optiarc - DVDRWBD BC-5540H	+48	53	100%
Optiarc - DVDRWBD BC-5550H	+48	2	100%
Optiarc - DVDRWBD BC-5600S	+48	72	100%
OPTORITE - CD-RW CW4802	+733	8	100%
OPTORITE - CD-RW CW5201	+688	10	100%
OPTORITE - CD-RW CW5202	+688	1	100%
OPTORITE - CD-RW CW5205	+688	12	100%
OPTORITE - CD-RW CW5207	+733	5	100%
OPTORITE - COMBO DC4801	+738	1	100%
OPTORITE - DVD RW DD0201	+689	6	100%
OPTORITE - DVD RW DD0203	+688	9	100%
OPTORITE - DVD RW DD0401	+689	5	100%
OPTORITE - DVD RW DD0405	+689	31	100%
OPTORITE - DVD RW DD1203	+691	3	100%
OPTORITE - DVD RW DD1205	+691	5	100%
OPTORITE - DVD RW DD1603	+691	1	100%
OTUL - 0H6RCLQ7G5MJ	+6	2	100%
Panasonic - BD-CMB UJ-110	+102	11	100%
Panasonic - BD-CMB UJ-120	+102	163	100%
Panasonic - BD-CMB UJ130A	+102	7	100%
Panasonic - BD-CMB UJ130AS	+102	42	100%
Panasonic - BD-CMB UJ140AS	+103	9	100%
Panasonic - BD-CMB UJ141AF	+103	88	100%
Panasonic - BD-CMB UJ141AJ	+103	6	100%
Panasonic - BD-CMB UJ141AL	+103	39	100%
Panasonic - BD-CMB UJ141AS	+103	83	100%
Panasonic - BD-CMB UJ141EF	+103	19	100%
Panasonic - BD-CMB UJ141EL	+103	30	100%
Panasonic - BD-CMB UJ141ES	+103	22	100%
Panasonic - BD-CMB UJ152	+103	15	100%
Panasonic - BD-CMB UJ160	+103	118	100%
Panasonic - BD-CMB UJ160B	+103	11	100%
Panasonic - BD-CMB UJ162	+103	14	100%
Panasonic - BD-CMB UJ162ABW	+103	6	100%
Panasonic - BD-CMB UJ165	+103	3	100%
Panasonic - BD-CMB UJ167	+103	4	100%
Panasonic - BD-CMB UJ167AM	+103	3	100%
Panasonic - BD-CMB UJ172 S	+103	16	100%
Panasonic - BD-CMB UJ172	+103	3	100%
Panasonic - BD-CMB UJ242AS	+103	14	100%
Panasonic - BD-CMB UJ265	+103	1	100%
Panasonic - BD-MLT LF-MB121	+102	3	100%
Panasonic - BD-MLT LF-PB271	+102	7	100%
Panasonic - BD-MLT LF-PB371	+102	12	100%
Panasonic - BD-MLT SW-4583	+102	12	100%
Panasonic - BD-MLT SW-5582	+102	11	100%
Panasonic - BD-MLT SW-5583	+102	35	100%
Panasonic - BD-MLT SW-5584	+102	66	100%
Panasonic - BD-MLT UJ-210S	+102	54	100%
Panasonic - BD-MLT UJ-215S	+102	4	100%
Panasonic - BD-MLT UJ-220	+102	1	100%
Panasonic - BD-MLT UJ-220S	+102	141	100%
Panasonic - BD-MLT UJ-220V	+102	10	100%
Panasonic - BD-MLT UJ-225S	+102	17	100%
Panasonic - BD-MLT UJ230AS	+102	138	100%
Panasonic - BD-MLT UJ232A	+102	2	100%
Panasonic - BD-MLT UJ232AS	+102	29	100%
Panasonic - BD-MLT UJ235AS	+102	8	100%
Panasonic - BD-MLT UJ240	+103	3	100%
Panasonic - BD-MLT UJ240AF	+103	139	100%
Panasonic - BD-MLT UJ240AFW	+103	43	100%
Panasonic - BD-MLT UJ240AS	+103	287	100%
Panasonic - BD-MLT UJ240EF	+103	15	100%
Panasonic - BD-MLT UJ240ES	+103	129	100%
Panasonic - BD-MLT UJ242	+103	3	100%
Panasonic - BD-MLT UJ242AS	+103	30	100%
Panasonic - BD-MLT UJ252	+103	6	100%
Panasonic - BD-MLT UJ252E	+103	1	100%
Panasonic - BD-MLT UJ260	+103	111	100%
Panasonic - BD-MLT UJ260AF	+103	205	100%
Panasonic - BD-MLT UJ260B	+103	11	100%
Panasonic - BD-MLT UJ260E	+103	9	100%
Panasonic - BD-MLT UJ260F	+103	15	100%
Panasonic - BD-MLT UJ262	+103	38	100%
Panasonic - BD-MLT UJ262ABW	+103	4	100%
Panasonic - BD-MLT UJ265	+103	76	100%
Panasonic - BD-MLT UJ267	+103	11	100%
Panasonic - BD-MLT UJ267AM	+103	12	100%
Panasonic - BD-MLT UJ272 S	+103	8	100%
Panasonic - BD-MLT UJ272	+103	73	100%
Panasonic - BD-MLT UJ272Q	+103	6	100%
Panasonic - BD-MLT UJ273	+103	14	100%
Panasonic - BD-MLT UJDE267	+103	2	100%
Panasonic - BD-RE UJ-210	+102	2	100%
Panasonic - BD-RE UJ-220	+102	21	100%
Panasonic - BD-RE UJ-225S	+102	55	100%
Panasonic - BD-RE UJ232A	+102	14	100%
Panasonic - BD-RE UJ235A	+102	43	100%
Panasonic - BD-RE UJ240	+103	7	100%
Panasonic - BD-RE UJ240AF	+103	27	100%
Panasonic - BD-RE UJ242	+103	12	100%
Panasonic - BD-RE UJ252	+103	8	100%
Panasonic - BD-RE UJ260	+103	3	100%
Panasonic - BD-RE UJ260AF	+103	1	100%
Panasonic - BD-RE UJ262	+103	3	100%
Panasonic - BD-RE UJ272	+103	2	100%
Panasonic - CD-R CW-7502	+122	3	100%
Panasonic - CD-R CW-7503	+103	1	100%
Panasonic - CD-ROM CR-175	+102	3	100%
Panasonic - CD-ROM CR-176	+99	1	100%
Panasonic - CD-ROM CR-177	+99	18	100%
Panasonic - CD-ROM CR-584	+122	5	100%
Panasonic - CD-ROM CR-585	+103	18	100%
Panasonic - CD-ROM CR-587	+103	5	100%
Panasonic - CD-ROM CR-588	+103	12	100%
Panasonic - CD-ROM CR-589	+103	2	100%
Panasonic - CD-ROM CR-594	+99	9	100%
Panasonic - CD-RW CW-8571	+103	3	100%
Panasonic - CD-RW CW-7585	+99	1	100%
Panasonic - CD-RW CW-7586	+86	10	100%
Panasonic - CD-RW CW-8121	+103	7	100%
Panasonic - CD-RW CW-8123	+102	14	100%
Panasonic - CD-RW CW-8124	+102	60	100%
Panasonic - CD-RW CW-8221	+102	46	100%
Panasonic - CD-RW CW-8572	+103	7	100%
Panasonic - CDRRW05	+687	1	100%
Panasonic - CDRW-DVD UJDA740	+102	24	100%
Panasonic - CDRW-DVD UJDA760	+102	4	100%
Panasonic - DVD RAM UJ862A	+102	4	100%
Panasonic - DVD+-RW SW820	+6	18	100%
Panasonic - DVD+-RW SW830	+6	21	100%
Panasonic - DVD+-RW UJ-857G	+102	180	100%
Panasonic - DVD+-RW UJ-867S	+102	44	100%
Panasonic - DVD+-RW UJ-875S	+102	99	100%
Panasonic - DVD+-RW UJ862A	+102	72	100%
Panasonic - DVD+-RW UJ890	+102	10	100%
Panasonic - DVD+-RW UJ892	+102	70	100%
Panasonic - DVD+-RW UJ8A2	+102	68	100%
Panasonic - DVD+-RW UJ8A7	+102	35	100%
Panasonic - DVD+-RW UJ8B1	+6	31	100%
Panasonic - DVD+-RW UJ8B2	+102	34	100%
Panasonic - DVD+-RW UJ8C1	+6	23	100%
Panasonic - DVD+-RW UJ8C2	+103	37	100%
Panasonic - DVD+-RW UJ8C7	+103	3	100%
Panasonic - DVD+-RW UJ8D1	+6	31	100%
Panasonic - DVD+-RW UJ8DB	+6	5	100%
Panasonic - DVD+-RW UJ8E1	+6	10	100%
Panasonic - DVD+-RW UJ8E2	+103	35	100%
Panasonic - DVD+-RW UJ8FB	+6	17	100%
Panasonic - DVD-CDRW UJDA770	+102	38	100%
Panasonic - DVD-CDRW UJDA775	+102	156	100%
Panasonic - DVD-CDRW UJDA780	+102	7	100%
Panasonic - DVD-CDRW UJDA782	+102	4	100%
Panasonic - DVD-R UJ-825	+102	2	100%
Panasonic - DVD-R UJ-845F	+102	1	100%
Panasonic - DVD-R UJ-846	+102	60	100%
Panasonic - DVD-R UJ-857	+102	57	100%
Panasonic - DVD-R UJ-857D	+102	65	100%
Panasonic - DVD-R UJ-857E	+102	129	100%
Panasonic - DVD-R UJ-85J	+102	149	100%
Panasonic - DVD-R UJ-867	+102	45	100%
Panasonic - DVD-R UJ-868	+102	166	100%
Panasonic - DVD-R UJ-875	+102	67	100%
Panasonic - DVD-R UJ-898	+102	220	100%
Panasonic - DVD-R UJ-8A8	+102	121	100%
Panasonic - DVD-R UJ867A	+102	3	100%
Panasonic - DVD-RAM LF-D200	+103	3	100%
Panasonic - DVD-RAM LF-D210	+103	2	100%
Panasonic - DVD-RAM LF-D310	+103	20	100%
Panasonic - DVD-RAM LF-D311	+103	9	100%
Panasonic - DVD-RAM LF-D521	+102	27	100%
Panasonic - DVD-RAM LF-M721	+102	8	100%
Panasonic - DVD-RAM LF-M760	+102	7	100%
Panasonic - DVD-RAM LF-M821	+102	5	100%
Panasonic - DVD-RAM LF-M860	+102	3	100%
Panasonic - DVD-RAM LF-P567	+102	4	100%
Panasonic - DVD-RAM LF-P667	+102	1	100%
Panasonic - DVD-RAM LF-P767	+102	2	100%
Panasonic - DVD-RAM LF-P867	+102	9	100%
Panasonic - DVD-RAM LF-P968	+102	21	100%
Panasonic - DVD-RAM SW-9571	+102	11	100%
Panasonic - DVD-RAM SW-9572	+102	17	100%
Panasonic - DVD-RAM SW-9573S	+102	14	100%
Panasonic - DVD-RAM SW-9574S	+102	54	100%
Panasonic - DVD-RAM SW-9576S	+102	19	100%
Panasonic - DVD-RAM SW-9581	+102	15	100%
Panasonic - DVD-RAM SW-9581N	+102	1	100%
Panasonic - DVD-RAM SW-9582	+102	1	100%
Panasonic - DVD-RAM SW-9583A	+234	1	100%
Panasonic - DVD-RAM SW-9583S	+102	11	100%
Panasonic - DVD-RAM SW-9584	+102	87	100%
Panasonic - DVD-RAM SW-9585	+102	39	100%
Panasonic - DVD-RAM SW-9585A	+102	1	100%
Panasonic - DVD-RAM SW-9585S	+102	30	100%
Panasonic - DVD-RAM SW-9586	+102	24	100%
Panasonic - DVD-RAM SW-9587A	+102	12	100%
Panasonic - DVD-RAM SW-9587S	+102	50	100%
Panasonic - DVD-RAM SW-9588	+102	12	100%
Panasonic - DVD-RAM SW-9590	+102	18	100%
Panasonic - DVD-RAM SW-9590A	+102	3	100%
Panasonic - DVD-RAM SW810	+6	12	100%
Panasonic - DVD-RAM SW820	+6	7	100%
Panasonic - DVD-RAM SW830	+6	30	100%
Panasonic - DVD-RAM SW840	+6	8	100%
Panasonic - DVD-RAM UJ-810	+102	12	100%
Panasonic - DVD-RAM UJ-811	+102	52	100%
Panasonic - DVD-RAM UJ-812	+102	66	100%
Panasonic - DVD-RAM UJ-813	+102	8	100%
Panasonic - DVD-RAM UJ-815	+102	3	100%
Panasonic - DVD-RAM UJ-815A	+102	21	100%
Panasonic - DVD-RAM UJ-820S	+102	155	100%
Panasonic - DVD-RAM UJ-822S	+102	188	100%
Panasonic - DVD-RAM UJ-822Sy	+102	3	100%
Panasonic - DVD-RAM UJ-823S	+102	8	100%
Panasonic - DVD-RAM UJ-825S	+102	17	100%
Panasonic - DVD-RAM UJ-830S	+102	84	100%
Panasonic - DVD-RAM UJ-830Sa	+102	4	100%
Panasonic - DVD-RAM UJ-830Sx	+102	36	100%
Panasonic - DVD-RAM UJ-830Sy	+102	2	100%
Panasonic - DVD-RAM UJ-831S	+102	140	100%
Panasonic - DVD-RAM UJ-831Sa	+102	3	100%
Panasonic - DVD-RAM UJ-832	+102	9	100%
Panasonic - DVD-RAM UJ-832S	+102	126	100%
Panasonic - DVD-RAM UJ-833S	+102	18	100%
Panasonic - DVD-RAM UJ-835S	+102	5	100%
Panasonic - DVD-RAM UJ-840S	+102	191	100%
Panasonic - DVD-RAM UJ-841S	+102	578	100%
Panasonic - DVD-RAM UJ-842 z	+102	10	100%
Panasonic - DVD-RAM UJ-842	+102	259	100%
Panasonic - DVD-RAM UJ-842S	+102	258	100%
Panasonic - DVD-RAM UJ-844	+102	64	100%
Panasonic - DVD-RAM UJ-844S	+102	48	100%
Panasonic - DVD-RAM UJ-845A	+102	1	100%
Panasonic - DVD-RAM UJ-845S	+102	114	100%
Panasonic - DVD-RAM UJ-846S	+102	40	100%
Panasonic - DVD-RAM UJ-850 z	+102	47	100%
Panasonic - DVD-RAM UJ-850	+102	92	100%
Panasonic - DVD-RAM UJ-850S	+102	939	100%
Panasonic - DVD-RAM UJ-850T	+102	1	100%
Panasonic - DVD-RAM UJ-851S	+102	93	100%
Panasonic - DVD-RAM UJ-852	+102	189	100%
Panasonic - DVD-RAM UJ-852S	+102	283	100%
Panasonic - DVD-RAM UJ-85JA	+102	5	100%
Panasonic - DVD-RAM UJ-85JS	+102	145	100%
Panasonic - DVD-RAM UJ-860	+102	31	100%
Panasonic - DVD-RAM UJ-860H	+102	51	100%
Panasonic - DVD-RAM UJ-860S	+102	67	100%
Panasonic - DVD-RAM UJ-861H	+102	132	100%
Panasonic - DVD-RAM UJ-861S	+102	1	100%
Panasonic - DVD-RAM UJ-862	+102	130	100%
Panasonic - DVD-RAM UJ-875S	+102	62	100%
Panasonic - DVD-RAM UJ862A	+102	118	100%
Panasonic - DVD-RAM UJ862AC	+102	48	100%
Panasonic - DVD-RAM UJ862AS	+102	235	100%
Panasonic - DVD-RAM UJ862BJ	+102	29	100%
Panasonic - DVD-RAM UJ862ES	+102	3	100%
Panasonic - DVD-RAM UJ862PS	+102	18	100%
Panasonic - DVD-RAM UJ867AS	+102	2	100%
Panasonic - DVD-RAM UJ869AS	+102	30	100%
Panasonic - DVD-RAM UJ869PS	+102	3	100%
Panasonic - DVD-RAM UJ870A	+102	59	100%
Panasonic - DVD-RAM UJ870BJ	+102	151	100%
Panasonic - DVD-RAM UJ870PC	+102	25	100%
Panasonic - DVD-RAM UJ870QJ	+102	154	100%
Panasonic - DVD-RAM UJ875AS	+102	37	100%
Panasonic - DVD-RAM UJ875AT	+102	1	100%
Panasonic - DVD-RAM UJ880A	+102	16	100%
Panasonic - DVD-RAM UJ880AS	+102	167	100%
Panasonic - DVD-RAM UJ880ES	+102	30	100%
Panasonic - DVD-RAM UJ890	+102	75	100%
Panasonic - DVD-RAM UJ890AS	+102	384	100%
Panasonic - DVD-RAM UJ890ES	+102	20	100%
Panasonic - DVD-RAM UJ892	+102	138	100%
Panasonic - DVD-RAM UJ892AS	+102	196	100%
Panasonic - DVD-RAM UJ892ES	+102	39	100%
Panasonic - DVD-RAM UJ8A0A	+102	68	100%
Panasonic - DVD-RAM UJ8A0AS	+102	168	100%
Panasonic - DVD-RAM UJ8A0ASW	+102	77	100%
Panasonic - DVD-RAM UJ8A0AT	+102	2	100%
Panasonic - DVD-RAM UJ8A2	+102	46	100%
Panasonic - DVD-RAM UJ8A2AS	+102	147	100%
Panasonic - DVD-RAM UJ8A2ASW	+102	22	100%
Panasonic - DVD-RAM UJ8A2ES	+102	50	100%
Panasonic - DVD-RAM UJ8A7AS	+102	123	100%
Panasonic - DVD-RAM UJ8B0	+102	223	100%
Panasonic - DVD-RAM UJ8B0AW	+102	110	100%
Panasonic - DVD-RAM UJ8B1AS	+6	60	100%
Panasonic - DVD-RAM UJ8B2	+102	65	100%
Panasonic - DVD-RAM UJ8B2E	+102	7	100%
Panasonic - DVD-RAM UJ8B9	+102	7	100%
Panasonic - DVD-RAM UJ8C0	+103	163	100%
Panasonic - DVD-RAM UJ8C1	+6	18	100%
Panasonic - DVD-RAM UJ8C2 S	+103	61	100%
Panasonic - DVD-RAM UJ8C2	+103	77	100%
Panasonic - DVD-RAM UJ8C2Q	+103	23	100%
Panasonic - DVD-RAM UJ8C5	+6	17	100%
Panasonic - DVD-RAM UJ8C7	+103	4	100%
Panasonic - DVD-RAM UJ8D1	+6	85	100%
Panasonic - DVD-RAM UJ8D2Q	+103	15	100%
Panasonic - DVD-RAM UJ8D3	+103	6	100%
Panasonic - DVD-RAM UJ8DB S	+6	3	100%
Panasonic - DVD-RAM UJ8DB	+6	40	100%
Panasonic - DVD-RAM UJ8E0	+103	45	100%
Panasonic - DVD-RAM UJ8E1	+6	138	100%
Panasonic - DVD-RAM UJ8E2 S	+103	66	100%
Panasonic - DVD-RAM UJ8E2	+103	80	100%
Panasonic - DVD-RAM UJ8E2Q	+103	49	100%
Panasonic - DVD-RAM UJ8FB	+6	3	100%
Panasonic - DVD-RAM UJ8FBS	+6	22	100%
